t_in,t_out,lado,entry,exit,tp,sl,pnl,motivo,z,p_up,p_mc,atr,expansion,bars,eq
2023-01-04 13:15:00+00:00,2023-01-04 14:30:00+00:00,1,1859.14,1856.9348571428573,1864.652857142857,1856.9348571428573,-2.505142857142846,SL,2.4266533998614146,0.6958078582171273,0.6415,2.7564285714285495,1,5,-2.505142857142846
2023-02-09 13:30:00+00:00,2023-02-09 13:45:00+00:00,1,1883.82,1888.652857142857,1888.652857142857,1881.886857142857,4.532857142857165,TP,2.372946595123206,0.9985385016480347,0.49750000000000005,2.416428571428599,1,1,2.0277142857143193
2023-03-09 13:30:00+00:00,2023-03-09 14:00:00+00:00,1,1822.54,1826.072857142857,1826.072857142857,1821.126857142857,3.2328571428569832,TP,3.296624200705372,0.999323809766347,0.5495,1.766428571428524,1,2,5.2605714285713026
2023-03-10 13:30:00+00:00,2023-03-10 13:45:00+00:00,1,1843.8,1841.6971428571428,1849.0571428571427,1841.6971428571428,-2.4028571428571466,SL,4.6611334356715,0.8675615848403695,0.6479999999999999,2.6285714285714255,1,1,2.857714285714156
2023-03-10 14:30:00+00:00,2023-03-10 15:30:00+00:00,1,1858.38,1866.3600000000001,1866.3600000000001,1855.188,7.680000000000018,TP,2.9173692288311988,0.998369957368445,0.7265,3.990000000000009,1,4,10.537714285714173
2023-03-23 13:45:00+00:00,2023-03-23 14:00:00+00:00,1,1984.01,1980.5962857142856,1992.5442857142857,1980.5962857142856,-3.713714285714377,SL,2.2767089966973906,0.9812262796470985,0.6425000000000001,4.267142857142858,1,1,6.8239999999997965
2023-04-04 14:00:00+00:00,2023-04-05 02:45:00+00:00,1,2016.39,2025.187142857143,2025.187142857143,2012.871142857143,8.497142857142943,TP,6.069255069824255,0.9764571857348746,0.635,4.398571428571456,1,47,15.321142857142739
2023-04-26 13:15:00+00:00,2023-04-26 13:30:00+00:00,1,2008.16,2005.1805714285715,2015.6085714285714,2005.1805714285715,-3.2794285714285705,SL,2.901810531430113,0.9993606394387033,0.661,3.7242857142856565,1,1,12.041714285714168
2023-05-31 13:30:00+00:00,2023-05-31 13:45:00+00:00,1,1967.43,1972.2885714285715,1972.2885714285715,1965.4865714285716,4.558571428571395,TP,2.9952774688707433,0.9984756487401701,0.53925,2.429285714285665,1,1,16.60028571428556
2023-05-31 14:15:00+00:00,2023-05-31 14:30:00+00:00,1,1966.12,1973.2271428571426,1973.2271428571426,1963.2771428571427,6.807142857142662,TP,2.1071133705862892,0.9990835187384313,0.529,3.55357142857138,1,1,23.407428571428223
2023-07-05 13:15:00+00:00,2023-07-05 13:30:00+00:00,1,1932.32,1930.646857142857,1936.5028571428572,1930.646857142857,-1.9731428571429206,SL,2.038104711540617,0.9720683389067829,0.49124999999999996,2.091428571428602,1,1,21.434285714285302
2023-08-23 13:15:00+00:00,2023-08-23 13:30:00+00:00,1,1910.76,1908.8428571428572,1915.5528571428572,1908.8428571428572,-2.217142857142835,SL,2.637250455703034,0.9992748349524636,0.546,2.3964285714285842,1,1,19.217142857142466
2023-08-30 13:45:00+00:00,2023-08-30 14:00:00+00:00,1,1947.46,1945.612,1952.08,1945.612,-2.147999999999956,SL,2.1034267325910387,0.9991697704713333,0.747,2.3099999999999943,1,1,17.06914285714251
2023-10-18 13:30:00+00:00,2023-10-18 13:45:00+00:00,1,1959.03,1956.7397142857142,1964.7557142857142,1956.7397142857142,-2.590285714285801,SL,3.726603457517408,0.9993625305471537,0.7065,2.8628571428571212,1,1,14.478857142856707
2023-10-19 16:45:00+00:00,2023-10-19 17:15:00+00:00,1,1962.0,1970.7342857142858,1970.7342857142858,1958.5062857142857,8.43428571428576,TP,2.358850630224328,0.9965509745352104,0.61575,4.3671428571428645,1,2,22.913142857142468
2023-10-20 13:45:00+00:00,2023-10-20 14:15:00+00:00,1,1987.1,1984.3697142857143,1993.9257142857143,1984.3697142857143,-3.030285714285628,SL,3.3024452857962774,0.996946945251962,0.684,3.4128571428571735,1,2,19.88285714285684
2023-11-14 13:30:00+00:00,2023-11-14 13:45:00+00:00,1,1956.59,1954.8562857142856,1960.9242857142856,1954.8562857142856,-2.0337142857143133,SL,5.357261981108176,0.9926629127601977,0.63025,2.1671428571428515,1,1,17.849142857142525
