=== BACKTEST 2024 M15 capital $1000 riesgo 0.5% ===
Costes: spread 16 + slippage 5x2 + swap LONG -45/lote/noche x3 mie.
trades=498 win=30.5% PF=0.91 exp=$-0.30
FINAL=$849.02 TOTAL=$-150.98 (-15.10%) MAXDD=$217.24 (21.72%) SHARPE*=-0.97
lote medio=0.019 max=0.07 swap=$-52.20
--- MENSUAL USD ---
  2024-01: $-44.36 (-4.44%) n=33 exp=$-1.34
  2024-02: $-87.51 (-8.75%) n=40 exp=$-2.19
  2024-03: $-24.71 (-2.47%) n=45 exp=$-0.55
  2024-04: $+82.96 (+8.30%) n=48 exp=$+1.73
  2024-05: $-55.96 (-5.60%) n=47 exp=$-1.19
  2024-06: $+31.94 (+3.19%) n=36 exp=$+0.89
  2024-07: $-55.09 (-5.51%) n=46 exp=$-1.20
  2024-08: $-54.25 (-5.43%) n=36 exp=$-1.51
  2024-09: $+50.80 (+5.08%) n=40 exp=$+1.27
  2024-10: $+54.76 (+5.48%) n=44 exp=$+1.24
  2024-11: $-20.30 (-2.03%) n=46 exp=$-0.44
  2024-12: $-29.26 (-2.93%) n=37 exp=$-0.79
