=== BACKTEST USD 2025 capital $1000 riesgo 0.5% ===
Costes: spread 16 + slippage 5x2 + swap LONG -45/lote/noche x3 mie.
trades=525 win=34.3% PF=1.21 exp=$+0.85
FINAL=$1,444.92 TOTAL=$+444.92 (+44.49%) MAXDD=$124.29 (8.47%) SHARPE*=+1.90
lote medio=0.015 max=0.04 swap=$-38.70
--- MENSUAL USD ---
  2025-01: $+5.50 (+0.55%) n=46 exp=$+0.12
  2025-02: $+4.56 (+0.46%) n=38 exp=$+0.12
  2025-03: $+33.80 (+3.38%) n=45 exp=$+0.75
  2025-04: $+20.05 (+2.00%) n=41 exp=$+0.49
  2025-05: $+37.22 (+3.72%) n=46 exp=$+0.81
  2025-06: $+29.80 (+2.98%) n=41 exp=$+0.73
  2025-07: $+35.88 (+3.59%) n=40 exp=$+0.90
  2025-08: $+17.73 (+1.77%) n=37 exp=$+0.48
  2025-09: $-43.81 (-4.38%) n=50 exp=$-0.88
  2025-10: $+112.71 (+11.27%) n=46 exp=$+2.45
  2025-11: $+151.77 (+15.18%) n=45 exp=$+3.37
  2025-12: $+39.72 (+3.97%) n=50 exp=$+0.79
